condition,axis,count,mean,std,min,max
Neutral,stoic,628,2.470642936077847,0.2863695843828688,1.5332657098770142,3.290539264678955
Neutral,stream_of_consciousness,628,-0.852630728274394,0.3878957839581978,-1.8458224534988403,-0.30845943093299866
Neutral,submissive,628,-2.4966165112082366,0.3456264464214555,-3.184938669204712,-1.1793221235275269
Neutral,subversive,628,-1.4265913615940482,0.5960362316506571,-2.761526346206665,-0.39831873774528503
Neutral,supportive,628,2.158293900216461,0.30010281573588554,1.1878538131713867,3.1193313598632812
Neutral,sycophantic,628,-0.16643779243158688,0.27824829690533914,-0.6853091716766357,0.297858864068985
Neutral,temperamental,628,-3.1409205843688577,0.43091757685025844,-4.28704309463501,-2.305406332015991
Neutral,theatrical,628,-0.5274093390982242,0.5241307989354366,-1.8032727241516113,0.2516093850135803
Neutral,theoretical,628,-0.11493980287793715,0.9224373260806309,-2.7712900638580322,0.9080342054367065
Neutral,traditional,628,0.7303404135119383,0.4217213379611706,0.108664870262146,1.8559648990631104
Neutral,understated,628,-0.816029298789562,0.2497737712389424,-1.2719240188598633,0.3336794972419739
Neutral,universalist,628,-0.7921916707685799,0.3618808213707369,-1.5318610668182373,-0.31949207186698914
Neutral,urgent,628,-0.32613955943542683,0.28925211783284577,-1.4627692699432373,0.10622259229421616
Neutral,utilitarian,628,0.5897567219035641,0.7214872528124043,-0.992987871170044,1.6204071044921875
Neutral,verbose,628,2.105784136208759,0.4428956479389249,0.8591398000717163,2.939505100250244
Neutral,visceral,628,-2.151710435463365,0.32799672926503814,-3.141768217086792,-1.455047845840454
Neutral,whimsical,628,0.3443489255751394,0.5051304136401078,-0.7180038094520569,1.3575794696807861
Neutral,witty,628,-2.4185739474691403,0.38351529544062457,-3.3234918117523193,-1.8712499141693115
Neutral,wry,628,-3.7632354216970456,0.4707349802831165,-5.013284683227539,-2.647815704345703
Neutral,zealous,628,-1.500479371114901,0.42855951695574673,-2.3988301753997803,-0.9421771764755249
anxious,absolutist,5,-1.0499770641326904,0.42474005326840386,-1.575521469116211,-0.5705503225326538
anxious,abstract,5,1.0733455777168275,0.8116118941309496,-0.2787373661994934,1.7807068824768066
anxious,accessible,5,1.6054787158966064,0.7655509394453117,0.7053521871566772,2.805300712585449
anxious,accommodating,5,1.3904582262039185,0.45929092098506874,0.8360292911529541,2.0894031524658203
anxious,acerbic,5,-3.041077995300293,0.4336360393547419,-3.758305549621582,-2.7289810180664062
anxious,adventurous,5,-0.2912339955568314,0.43571554546616237,-1.0246305465698242,0.009578943252563477
anxious,agreeable,5,1.8883425712585449,0.3396904004150517,1.48286771774292,2.368994951248169
anxious,altruistic,5,4.733383750915527,0.4617350791560585,4.291878700256348,5.442043304443359
anxious,animated,5,-0.08900070935487747,0.14633663464508728,-0.2805602252483368,0.10568040609359741
anxious,anxious,5,-2.306806945800781,0.5030156235845693,-3.1147336959838867,-1.8933045864105225
anxious,arrogant,5,-1.4378252744674682,0.41313551105669255,-2.1276907920837402,-1.0378881692886353
anxious,artistic,5,-0.19931131601333618,0.6792260453575739,-1.0212606191635132,0.6787058115005493
anxious,ascetic,5,0.7176862686872483,0.6069551808258411,-0.0679774135351181,1.5334410667419434
anxious,assertive,5,0.5758940756320954,0.2219035824325211,0.3274857997894287,0.8116376996040344
anxious,avoidant,5,-4.997677993774414,0.5787428670390306,-5.862198829650879,-4.388267517089844
anxious,benevolent,5,3.9616648674011232,0.4048107141707119,3.716732978820801,4.676510810852051
anxious,bitter,5,-3.188238000869751,0.3537152693121364,-3.7057254314422607,-2.788797378540039
anxious,bombastic,5,-1.1853209018707276,0.5859612764177967,-2.1686148643493652,-0.6446794271469116
anxious,callous,5,-1.477360153198242,0.3802663596169335,-1.8803805112838745,-0.9049738645553589
anxious,calm,5,2.612554168701172,0.32470534517094424,2.1973538398742676,3.0436906814575195
anxious,casual,5,-1.6389686584472656,0.581639467080637,-2.565723180770874,-1.1879169940948486
anxious,challenging,5,-0.7758047163486481,0.7475212521776898,-2.0377557277679443,-0.1779329776763916
anxious,chaotic,5,-0.30595889687538147,0.770045465260112,-1.5630881786346436,0.20795345306396484
anxious,charismatic,5,-0.023249803483486174,0.1591723613635559,-0.18320398032665253,0.16848376393318176
anxious,chill,5,1.8222338914871217,0.5494615538166634,1.099865198135376,2.46150279045105
