trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
formal,epicurean,100,0.25320381961762906,1.2133868976140287,12.133868976140288,2.6567364294812264e-21,1.5135346931590017e-19,True,+,0.45
entertaining,mercurial,100,0.6096488201618194,1.2130851423320408,12.130851423320408,2.6963984020214268e-21,1.526876203554302e-19,True,+,0.5
inspirational,grounded,100,-0.5122630393505097,-1.211819190077098,-12.11819190077098,2.8693722375355077e-21,1.6150957504690881e-19,True,-,0.52
spontaneous,ritualistic,100,-0.39288367331027985,-1.2103291828072005,-12.103291828072003,3.087282202556846e-21,1.7274078990496636e-19,True,-,0.41
agreeable,entertaining,100,0.31665865242481234,1.2098927606448755,12.098927606448754,3.1541981021513374e-21,1.7544060449835843e-19,True,+,0.49
data_driven,sarcastic,100,0.5226713848114014,1.2074610760307924,12.074610760307925,3.5545968855303845e-21,1.9654829837638595e-19,True,+,0.69
data_driven,mischievous,100,0.4243950390815735,1.205849824841227,12.05849824841227,3.8476215323896145e-21,2.110609459360961e-19,True,+,0.68
entertaining,empathetic,100,0.5043336594104767,1.205774142695837,12.057741426958371,3.8619662447881414e-21,2.110609459360961e-19,True,+,0.53
speculative,spontaneous,100,0.5586846819519997,1.2025256834099853,12.025256834099853,4.531018803908273e-21,2.461940852990622e-19,True,+,0.53
speculative,rhetorical,100,0.604151511490345,1.2017248067462794,12.017248067462793,4.7131194825190344e-21,2.5461679963033864e-19,True,+,0.52
data_driven,acerbic,100,0.4964266705513001,1.1967240908489465,11.967240908489464,6.028532874090124e-21,3.2381833723684097e-19,True,+,0.68
inspirational,eclectic,100,0.466849807202816,1.1924173745710926,11.92417374571093,7.453306198708379e-21,3.980743083401066e-19,True,+,0.48
casual,entertaining,100,0.32664942756295207,1.1907239155724794,11.907239155724794,8.102073841938108e-21,4.302796277639447e-19,True,+,0.52
playful,ritualistic,100,-0.36241264402866363,-1.1905955373095922,-11.905955373095923,8.153506858227204e-21,4.3057845206368375e-19,True,-,0.48
entertaining,poetic,100,0.26936114847660064,1.1901543691482948,11.90154369148295,8.33276495961054e-21,4.375865397784306e-19,True,+,0.5
pessimistic,entertaining,100,0.3674293989688158,1.1894955699438168,11.894955699438167,8.607840101528269e-21,4.495205386353652e-19,True,+,0.51
reactive,impatient,100,0.32528554916381835,1.1892126462263461,11.892126462263462,8.728751224155384e-21,4.533163619174619e-19,True,+,0.5
data_driven,avoidant,100,0.651644320487976,1.1881125460258928,11.881125460258927,9.215309237593465e-21,4.759555320515305e-19,True,+,0.58
empathetic,condescending,100,0.35314282298088073,1.187613906880948,11.876139068809481,9.444723427999959e-21,4.8513879903387765e-19,True,+,0.48
verbose,creative,100,0.312720410823822,1.1857068349435904,11.857068349435904,1.037625668634037e-20,5.300913741934754e-19,True,+,0.46
inspirational,melodramatic,100,0.4184707295894623,1.1852323295106877,11.852323295106876,1.0622017655009568e-20,5.397133294977835e-19,True,+,0.65
speculative,eloquent,100,0.48925940779969096,1.1844638670262198,11.844638670262198,1.1032476041238832e-20,5.575552407937904e-19,True,+,0.51
skeptical,passive_aggressive,100,0.31500944852828977,1.1822078381146748,11.822078381146747,1.2331751608962526e-20,6.198848402366189e-19,True,+,0.55
intuitive,emotional,100,0.42148782312870026,1.180190952018506,11.80190952018506,1.36227748167123e-20,6.81138740835615e-19,True,+,0.5
big_picture,rhetorical,100,0.4478780774772167,1.1799511228033068,11.799511228033069,1.3785047600636396e-20,6.856055420422334e-19,True,+,0.46
entertaining,subversive,100,0.7721146109700203,1.1778229936484508,11.778229936484509,1.5312651092037084e-20,7.575732645534135e-19,True,+,0.5
empathetic,spontaneous,100,0.4183878940343857,1.1753457029230645,11.753457029230644,1.730612223860881e-20,8.517149164550933e-19,True,+,0.5
anxious,socratic,100,0.3392007648944855,1.174832138325625,11.74832138325625,1.775091003657478e-20,8.690549705406403e-19,True,+,0.43
data_driven,experiential,100,0.689384604357183,1.1746921477405345,11.746921477405344,1.7874129681759653e-20,8.70553466365496e-19,True,+,0.75
intuitive,condescending,100,0.3825610065460205,1.1736464429069484,11.736464429069486,1.882211279851724e-20,9.119992799281548e-19,True,+,0.55
optimistic,entertaining,100,0.33539070531725884,1.1731353785783367,11.731353785783368,1.93036037796933e-20,9.30532695021113e-19,True,+,0.51
data_driven,supportive,100,-0.3684383261203766,-1.1726366488556776,-11.726366488556774,1.9785383399456328e-20,9.488908365045381e-19,True,-,0.61
playful,spontaneous,100,0.5695788836479188,1.1711250482317248,11.711250482317247,2.1320551606225227e-20,1.0173258126828281e-18,True,+,0.62
entertaining,gregarious,100,0.3284886646270752,1.1701437115420645,11.701437115420644,2.2380593887102202e-20,1.062513043125054e-18,True,+,0.52
playful,solemn,100,-0.5799182963371277,-1.1698427531897073,-11.698427531897073,2.2716163642484697e-20,1.0730248152731464e-18,True,-,0.58
data_driven,goofy,100,0.5413709449768066,1.1692195400119652,11.692195400119653,2.3427181207809065e-20,1.101077516767026e-18,True,+,0.7
inquisitive,condescending,100,0.2869797623157501,1.1680985644332615,11.680985644332615,2.4762750773681422e-20,1.158058991405997e-18,True,+,0.38
