trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
entertaining,serious,100,-0.7645678481459618,-1.4039167361390854,-14.039167361390852,2.736140109550719e-25,1.8371226449840542e-23,True,-,0.64
casual,paranoid,100,0.350160523056984,1.4031067977242608,14.031067977242609,2.8427092444218353e-25,1.8951394962812235e-23,True,+,0.43
entertaining,chaotic,100,0.3552958945930004,1.399579683509676,13.99579683509676,3.357641764089376e-25,2.207121159611198e-23,True,+,0.59
pessimistic,reserved,100,-0.35363965630531313,-1.3985575602593971,-13.985575602593972,3.5236947653274123e-25,2.3001896384776165e-23,True,-,0.43
casual,chill,100,0.24133002817630766,1.3976838483547982,13.976838483547983,3.672166499372209e-25,2.380576903041294e-23,True,+,0.49
narrative,dispassionate,100,-0.4097739191353321,-1.3956727699052576,-13.956727699052577,4.038254825584131e-25,2.5999722849651255e-23,True,-,0.48
empathetic,condescending,100,0.3929847300052643,1.3930386955592955,13.930386955592954,4.573834185306286e-25,2.924764717134632e-23,True,+,0.54
entertaining,rhetorical,100,0.4855964730679989,1.3925468960203762,13.925468960203762,4.681473391283655e-25,2.9733682350044834e-23,True,+,0.65
casual,hedonistic,100,0.33827036261558535,1.3894492489701378,13.894492489701378,5.4204987557526365e-25,3.41964351034059e-23,True,+,0.48
playful,ironic,100,0.6153577655553818,1.38593977332596,13.8593977332596,6.400530299630121e-25,4.010998987768209e-23,True,+,0.6
stoic,provocative,65,0.40287336884782865,1.3830241714281775,11.150297342181004,1.2145051532733696e-16,1.528292963958457e-15,True,+,0.4461538461538462
playful,dramatic,100,0.37835622906684874,1.3826309382877848,13.826309382877849,7.487235036205461e-25,4.66092777088287e-23,True,+,0.52
humble,condescending,100,0.3765241205692291,1.375296420076021,13.752964200760209,1.0604190384815346e-24,6.517717752357594e-23,True,+,0.54
entertaining,charismatic,100,0.326248494759202,1.3752876154418634,13.752876154418633,1.0608625703305447e-24,6.517717752357594e-23,True,+,0.64
spontaneous,empathetic,100,0.39737146645784377,1.3737821033686717,13.737821033686716,1.1395106062763009e-24,6.955454349998199e-23,True,+,0.53
speculative,rhetorical,98,0.3977520912885666,1.3729372266945397,13.591385123948259,3.456621235837313e-24,1.9226177288089194e-22,True,+,0.5612244897959183
entertaining,extroverted,100,0.2791483811289072,1.371180216472653,13.71180216472653,1.2895020835591619e-24,7.82020618416524e-23,True,+,0.56
playful,existentialist,100,0.30194726064801214,1.3686130124609133,13.686130124609132,1.4569406527737961e-24,8.779001369278002e-23,True,+,0.31
entertaining,rebellious,100,0.34696112871170043,1.3674739949780916,13.674739949780918,1.5380691393476786e-24,9.208821598642154e-23,True,+,0.35
intuitive,entertaining,100,0.49414159178733824,1.3658645949997696,13.658645949997698,1.660501849045998e-24,9.878935051286319e-23,True,+,0.59
inspirational,creative,100,0.3901755195856094,1.3614802107702166,13.614802107702165,2.0460673694128955e-24,1.2096247341183155e-22,True,+,0.54
narrative,condescending,100,0.46871259093284606,1.359993385444436,13.599933854444359,2.1963028794917816e-24,1.2903279417014217e-22,True,+,0.57
entertaining,flirty,100,0.41773729741573334,1.3591715050661484,13.591715050661483,2.2840569183546897e-24,1.3335487597847255e-22,True,+,0.49
inspirational,dispassionate,100,-0.3796707198023796,-1.3583316129700256,-13.583316129700254,2.3773756870105044e-24,1.3794649048085644e-22,True,-,0.39
casual,accessible,100,0.5945234176516533,1.3574279563389535,13.574279563389537,2.4820628445052968e-24,1.431373664929435e-22,True,+,0.69
casual,understated,100,0.26243954241275785,1.3571858789627849,13.57185878962785,2.5108855414669605e-24,1.4391661030359407e-22,True,+,0.51
speculative,rebellious,98,0.3085040987602302,1.3569923153473717,13.433538554802247,7.273289802176823e-24,3.7565342934319855e-22,True,+,0.4387755102040816
inspirational,animated,100,0.31318227395415305,1.355296438134213,13.552964381342129,2.7477196135321076e-24,1.559602434111243e-22,True,+,0.62
inspirational,risk_taking,100,0.38360871862620116,1.3552471333433351,13.55247133343335,2.7541915325794287e-24,1.559602434111243e-22,True,+,0.38
casual,flirty,100,0.28988194167613984,1.3520343241844,13.520343241844,3.2106783639849014e-24,1.8072081809256333e-22,True,+,0.43
entertaining,disorganized,100,0.5903352457284927,1.3507072180035953,13.507072180035951,3.4207584846907265e-24,1.9139958188150495e-22,True,+,0.57
playful,irreverent,100,0.719507309794426,1.3491726460656652,13.491726460656652,3.680962877677561e-24,2.0320616740883928e-22,True,+,0.61
casual,irreverent,100,0.44487112641334536,1.349083799895904,13.490837998959039,3.696622832650162e-24,2.0320616740883928e-22,True,+,0.45
analytical,challenging,100,0.2457751213759184,1.3477761402419293,13.477761402419292,3.935007119377855e-24,2.1505271466367346e-22,True,+,0.42
playful,introverted,100,-0.7936100286245346,-1.3474320159190571,-13.47432015919057,4.000268416680837e-24,2.1735562495260044e-22,True,-,0.63
humble,confrontational,100,-0.3399462753534317,-1.3464811499683067,-13.464811499683066,4.186305013563904e-24,2.261567076293144e-22,True,-,0.56
pessimistic,decisive,100,-0.40939576309174297,-1.3461670274035633,-13.461670274035633,4.249653931177561e-24,2.28267125446109e-22,True,-,0.42
