axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
naive,14.786370640173569,50,32,0.64,0.46207408250542403,1.0742180651625797,0.40414081695331705,casual,+
diplomatic,14.754363362391228,50,35,0.7,0.42155323892546365,1.1065873680212797,0.3653220456077598,playful,-
sassy,14.697316165914552,50,33,0.66,0.4453732171489258,1.282475933656628,0.42289429925793565,playful,+
fundamentalist,14.43482800049332,50,37,0.74,0.39013048649981946,0.8391000072415792,0.3330027715742,pessimistic,-
calm,14.211442421633645,50,33,0.66,0.4306497703525347,1.1750243065984538,0.3863395964694666,playful,-
contemporary,13.961967787797679,50,29,0.58,0.4814471650964717,1.197158395804748,0.3345732398934369,formal,-
temperamental,13.755526503277519,50,33,0.66,0.41683413646295514,1.1735834629786523,0.39890071890071904,playful,+
theatrical,13.753555342806443,50,27,0.54,0.5093909386224609,0.9530996325434926,0.31823754649151476,playful,+
pluralist,13.730560219193682,50,38,0.76,0.36133053208404425,0.666794664286021,0.30653430112076735,entertaining,-
verbose,13.465313310028254,50,28,0.56,0.4809040467867233,1.5153949216722056,0.34409878593552073,concise,-
abstract,13.340726375295962,50,29,0.58,0.4600250474239987,1.0386890949699379,0.27412565259855903,concise,-
literal,13.226186460743081,50,31,0.62,0.42665117615300263,0.860689226043131,0.36473032344000084,inspirational,-
idealistic,13.218515315574013,50,28,0.56,0.4720898326990719,1.105663000975806,0.3383945708945709,formal,+
utilitarian,13.125874180688763,50,33,0.66,0.39775376305117466,0.6484297483193479,0.22233281389125553,formal,-
meditative,12.996864974031489,50,27,0.54,0.48136536940857366,1.1757617164371408,0.255131360051995,concise,-
ethereal,12.808480153845629,50,30,0.6,0.42694933846152094,1.0353792409905553,0.3644182558468272,stoic,+
submissive,12.349703715704724,50,32,0.64,0.3859282411157726,0.820862014290615,0.2570686909079766,casual,+
conceptual,12.311241772586238,50,27,0.54,0.455971917503194,1.0364137895063072,0.24782909592433405,formal,+
nurturing,12.084619555776026,50,31,0.62,0.3898264372830976,0.856458837595833,0.2219400147049917,inspirational,+
curious,11.665399133448894,50,27,0.54,0.43205181975736645,1.039411308073803,0.3690789697138903,concise,-
concise,11.491896104958764,50,26,0.52,0.44199600403687556,1.5431608934530376,0.35956309950815446,concise,+
melodramatic,11.360864457808393,50,28,0.56,0.40574515920744264,1.113810061588941,0.341027300364035,playful,+
anxious,11.35645124821981,50,28,0.56,0.405587544579279,0.9429412222442517,0.2797681597681598,playful,+
cryptic,11.075253781119908,50,26,0.52,0.42597129927384264,0.9688659682025127,0.33913943199657487,stoic,+
supportive,11.003873322350623,50,29,0.58,0.3794439076672629,0.8377034224429029,0.21676738859004874,inspirational,+
impulsive,10.888286068961273,50,25,0.5,0.4355314427584509,1.0320702729067555,0.3641896805896807,casual,+
cruel,10.751083958143958,50,28,0.56,0.3839672842194271,0.7338749813341431,0.25945527889405445,anxious,-
neurotic,10.480031560714082,50,26,0.52,0.4030781369505416,0.9506694421196858,0.323754924908771,casual,+
assertive,10.375105609830538,50,23,0.46,0.4510915482535016,1.1442546234515936,0.42772696294435436,inspirational,+
deontological,10.239963333494076,50,27,0.54,0.37925790124052133,0.8950123434153148,0.22480551258329046,concise,-
patient,10.194573113430222,50,30,0.6,0.3398191037810074,0.7371468022229564,0.3883741573741573,concise,-
sarcastic,9.296438738928371,50,24,0.48,0.38735161412201546,1.1040114803447303,0.32250234928806354,playful,+
petty,9.07628566216558,50,24,0.48,0.37817856925689913,0.7531759276314084,0.2920564766993338,concise,-
moderate,8.947854925261966,50,24,0.48,0.3728272885525819,0.8361022229399024,0.34121452621452625,playful,-
agreeable,7.97056388603571,50,23,0.46,0.3465462559145961,0.5565692695870428,0.2551711435562367,intuitive,+
sardonic,7.920991156155271,50,20,0.4,0.3960495578077635,1.0246181148077054,0.3777764127764128,playful,+
educational,7.6845794371433644,50,20,0.4,0.3842289718571682,1.0605958920101857,0.2728120393120393,concise,-
wry,7.576773944854812,50,19,0.38,0.39877757604499015,1.029123516820758,0.3436231446757762,playful,+
problem_solving,7.575991229214806,50,21,0.42,0.36076148710546696,0.7738794113621024,0.36577180679221494,verbose,-
bitter,7.556270015870908,50,19,0.38,0.3976984218879425,0.9391536710934039,0.36079601132232714,playful,+
collaborative,7.425166378083965,50,21,0.42,0.35357935133733165,0.5587054881797157,0.32312022434471416,casual,-
convergent,7.11685430364372,50,19,0.38,0.3745712791391432,1.227362498667996,0.30192918350813086,concise,+
serene,7.024757881766991,50,17,0.34,0.41322105186864655,0.8102986498235406,0.2311083851419986,stoic,+
militant,6.769570368685092,50,17,0.34,0.39821002168735836,0.8639784130552799,0.3388078820011593,playful,+
dogmatic,6.408989574914104,50,19,0.38,0.33731524078495284,0.5817897907958014,0.314412955465587,entertaining,+
resilient,6.221464322543323,50,17,0.34,0.36596848956137196,0.7359624923864334,0.23401252342428813,casual,-
progressive,6.2134714854285855,50,16,0.32,0.3883419678392866,0.6742534949068707,0.3386131412024269,cautious,-
universalist,5.871466379933,50,18,0.36,0.32619257666294443,0.6868465549754379,0.2691418341418341,concise,+
skeptical,5.764486307405204,50,17,0.34,0.33908742984736495,0.5761966336430412,0.29588235294117643,analytical,+
materialist,5.728708192411389,50,15,0.3,0.3819138794940926,0.5863786907266619,0.24113380570523427,pessimistic,-
egalitarian,5.660042726337149,50,17,0.34,0.3329436897845382,0.5672458161446409,0.28375150551621137,concise,-
conciliatory,5.650509017385829,50,15,0.3,0.3767006011590553,0.7305736017842647,0.27863607720750583,playful,-
benevolent,5.440142300096379,50,17,0.34,0.32000837059390463,0.545003751268432,0.2641390053154759,inspirational,+
elitist,5.079161913438973,50,16,0.32,0.31744761958993584,0.4546962682511932,0.2983271908271909,playful,+
